City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
484,Dumas,35.8656,-101.9732,44.02,22,0,0.0,US,2022-01-09 23:25:54
485,Nouadhibou,20.931,-17.0347,67.98,56,100,5.75,MR,2022-01-09 23:25:55
486,Natal,-5.795,-35.2094,82.62,78,20,10.36,BR,2022-01-09 23:25:19
487,Mayskiy,47.6931,40.1025,33.21,81,100,13.49,RU,2022-01-09 23:25:55
488,Tomatlan,19.9333,-105.25,83.93,43,99,6.73,MX,2022-01-09 23:25:55
489,Seoul,37.5683,126.9778,20.71,93,73,2.3,KR,2022-01-09 23:21:00
490,Nyuksenitsa,60.4128,44.2397,19.17,95,100,7.65,RU,2022-01-09 23:25:56
491,Tigil,57.8,158.6667,12.18,88,65,4.12,RU,2022-01-09 23:25:56
492,Caravelas,-17.7125,-39.2481,75.65,90,92,7.52,BR,2022-01-09 23:25:57
493,Pleshanovo,52.8333,53.4833,-6.99,98,67,4.27,RU,2022-01-09 23:25:57
494,Verkhoyansk,67.5447,133.385,-37.48,100,36,1.59,RU,2022-01-09 23:25:57
495,Freeport,40.6576,-73.5832,41.97,81,100,1.99,US,2022-01-09 23:24:51
496,Sioux Lookout,50.1001,-91.917,-14.42,70,40,8.05,CA,2022-01-09 23:25:58
497,Frontera Comalapa,15.65,-92.1333,81.16,48,3,6.06,MX,2022-01-09 23:25:58
498,Muzhi,65.3667,64.6667,-14.64,98,22,4.72,RU,2022-01-09 23:25:58
499,Arman,59.7,150.1667,14.02,83,100,9.75,RU,2022-01-09 23:25:59
500,Susuman,62.7833,148.1667,-9.72,100,97,2.95,RU,2022-01-09 23:25:59
501,Tongliao,43.6125,122.2653,0.55,83,87,9.26,CN,2022-01-09 23:25:59
502,Karachev,53.1229,34.9852,22.89,98,100,4.54,RU,2022-01-09 23:25:59
503,Mao,39.8885,4.2658,52.36,82,0,6.91,ES,2022-01-09 23:26:00
504,Alice Springs,-23.7,133.8833,92.75,13,0,8.05,AU,2022-01-09 23:23:47
505,Nabire,-3.3667,135.4833,77.4,86,100,0.72,ID,2022-01-09 23:25:05
506,Nara,34.6851,135.8049,45.64,76,38,1.01,JP,2022-01-09 23:21:20
