City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
666,Port Macquarie,AU,80.89,-31.4333,152.9167,Rydges Port Macquarie
670,Gamboula,CF,74.86,4.1178,15.1393,
675,Monrovia,LR,78.57,6.3005,-10.7969,Sunset Inn
679,Yambio,SS,77.38,4.5721,28.3955,Naivasha Hotel
680,San Andres,CO,80.62,12.5847,-81.7006,Hotel Arena Blanca
681,Nelson,NZ,81.45,-41.2833,173.2833,Rutherford Hotel Nelson
684,Salinopolis,BR,77.49,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
687,Saint-Pierre,RE,76.68,-21.3393,55.4781,Lindsey Hôtel
690,Chirongui,YT,76.93,-12.9319,45.1483,La Villa Mahatsara
691,Sampit,ID,77.18,-2.5333,112.95,Aquarius Boutique Hotel Sampit
